alpha_frontal,alpha_temporal,alpha_parietal,alpha_occipital,beta_frontal,beta_temporal,beta_parietal,beta_occipital,theta_frontal,theta_temporal,theta_parietal,theta_occipital,alpha_global,beta_global,theta_global,stress_frontal,stress_temporal,stress_parietal,stress_occipital,profile_name
0.4284244320888566,0.5338264797834728,0.7476711468075413,0.7281085615935815,0.7159129766324499,0.7932257982595631,0.6604696851019571,0.7702809604845485,0.2802298406928514,0.3085286202584451,0.2802350199356379,0.3044774167575716,0.609507655068363,0.7349723551196297,0.2933677244111265,0.2874885445435933,0.2593993184760903,-0.08720146170558418,0.04217239889096702,Focused
0.5186303168464511,0.5334611322723698,0.6297100937203557,0.5942165445930306,0.8223152534835486,0.7446237793502272,0.8479890588509353,0.7318135845101026,0.4545209315736906,0.4923281669920735,0.2294100867358002,0.2934837276776838,0.5690045218580518,0.7866854190487034,0.367435728244812,0.3036849366370975,0.21116264707785737,0.21827896513057965,0.13759703991707195,Focused
0.5956056884173131,0.5496930342704649,0.5743134173801878,0.7113136580268593,0.7818953198925529,0.759102261951161,0.7626149919376402,0.9263910967332366,0.2648634162101903,0.20422865788535882,0.3795898172679985,0.4493731380806247,0.6077314495237063,0.8075009176286477,0.3245137573610431,0.1862896314752398,0.20940922768069614,0.18830157455745233,0.2150774387063773,Focused
0.545238486000506,0.5541484816814685,0.5547392520494091,0.6673171038607936,0.9427098767369888,0.7707549270419007,0.8696721832453774,0.7065028053355765,0.36228021198750654,0.39147330218017257,0.39035033893597143,0.4685507054758344,0.5803608308980442,0.8224099480899608,0.40316363964487123,0.39747139073648285,0.21660644536043228,0.3149329311959683,0.03918570147478295,Focused
0.6423812994280776,0.4157741097708938,0.6222920696594832,0.5581746089704764,0.6473440102714976,0.9964984758595792,0.7554910288201618,0.7506503831862802,0.30009807028385416,0.3274495237642299,0.44503401658875197,0.22479846488363556,0.5596555219572328,0.7874959745343797,0.32434501888011796,0.004962710843419926,0.5807243660886854,0.1331989591606786,0.19247577421580375,Focused
0.4489909746801307,0.6322754602862711,0.5456861843553693,0.4726821566272807,0.7845081251060099,0.727594618201371,0.7134599423771718,0.8634540054027213,0.3388252772584799,0.4787742132885199,0.3302057995081045,0.491027782962535,0.5249086939872629,0.7722541727718185,0.40970826825440987,0.33551715042587915,0.09531915791509982,0.1677737580218025,0.39077184877544063,Focused
0.5666237476153795,0.55575076878213,0.6445486886536923,0.605145435006226,0.776726595497513,0.8279557666923836,0.8448101408620263,0.8011430297947378,0.4115369750236674,0.38974158896836014,0.41659542385642173,0.4107042371100729,0.5930171600143569,0.8126588832116652,0.40714455623963053,0.21010284788213351,0.27220499791025354,0.20026145220833402,0.19599759478851186,Focused
0.526790176778577,0.5865890440839157,0.7072547523630323,0.527496123459048,0.8073190946001959,0.7347407274941489,0.9810038167817038,0.6438805229510355,0.41712454925250547,0.2165808780597073,0.35381859310080604,0.3003070738208268,0.5870325241711433,0.791736040456771,0.32195777355846145,0.28052891782161893,0.14815168341023321,0.27374906441867153,0.11638439949198753,Focused
0.6180098577124221,0.5895512697002956,0.5310776989983431,0.6132250519454063,0.8703662284191209,0.7776464359587646,0.69176639684637,0.6581827539505722,0.5196463884152095,0.46149072865118823,0.22711932586587266,0.26839376723970954,0.5879659695891168,0.7494904537937069,0.369162552542995,0.2523563707066988,0.188095166258469,0.16068869784802686,0.04495770200516591,Focused
0.675401100905136,0.6165839644742453,0.6241197374113991,0.5879455429560703,0.7520006907068653,0.7031279243113274,0.9068291841209309,0.6982186033489609,0.4359267532728681,0.28535754680836045,0.3648595393233279,0.45599041342494223,0.6260125864367128,0.7650441006220211,0.38553356320737464,0.0765995898017292,0.08654395983708207,0.2827094467095318,0.11027306039289064,Focused
0.7542824174449755,0.5421605999886562,0.5959382100232523,0.5663640371730809,0.8664848382409698,0.8858802795691676,0.8673722622148179,0.8778631199879846,0.2902977831711814,0.18407029838009903,0.26527725341944286,0.4139087925485313,0.6146863161574911,0.8744001250032349,0.2883885318798136,0.1122024207959943,0.3437196795805114,0.2714340521915656,0.3114990828149037,Focused
