id,alpha_frontal,alpha_temporal,alpha_parietal,alpha_occipital,beta_frontal,beta_temporal,beta_parietal,beta_occipital,theta_frontal,theta_temporal,theta_parietal,theta_occipital,alpha_global,beta_global,theta_global,stress_frontal,stress_temporal,stress_parietal,stress_occipital,label
0,0.86061444368539,0.7959774787248168,0.9868497339574002,0.7015701268642014,0.4809742465200587,0.4466758972299552,0.07625785172894992,0.11841097002838609,0.4584017221135157,0.21994897026827892,0.38119104212202476,0.4027692098172265,0.8362529458079522,0.2805797413768375,0.36557773608026145,-0.37964019716533126,-0.3493015814948616,-0.9105918822284502,-0.5831591568358153,Shanta
1,0.8491652375782642,0.6778147164345489,0.8666611318804083,0.8321949981964659,0.3626777395759472,0.2736836872914942,0.3708121882035835,0.3486131821210746,0.47824827892907334,0.20401741697716974,0.2894189848731028,0.5473442425112824,0.8064590210224217,0.3389466992980249,0.3797572308226571,-0.48648749800231705,-0.4041310291430547,-0.49584894367682475,-0.4835818160753913,Shanta
2,0.9406895512225624,0.8872227769964752,0.8107690758390667,0.9246852906179139,0.19686111435272696,0.3323547981648201,0.20912975688807378,0.27612944788623095,0.43066266594537184,0.38076233556724837,0.30234688353012934,0.5195425003321525,0.8908416736690046,0.25361877932296295,0.40832859634372554,-0.7438284368698354,-0.5548679788316551,-0.6016393189509929,-0.648555842731683,Shanta
3,0.9815316980238916,0.9379128155687323,0.7121925577941906,0.8990602325183261,0.10866896040620459,0.1552746277309316,0.16745057857466117,0.43856603589191856,0.4540587705417391,0.4159803916282871,0.3266571453287028,0.548599100920315,0.882674325976285,0.21749005065092897,0.436323852104761,-0.8728627376176871,-0.7826381878378007,-0.5447419792195294,-0.46049419662640756,Shanta
4,0.6505253944681242,0.8188402167484079,0.8480975199897433,0.9020477720968669,0.09554885626530385,0.10967562897050981,0.32123806554360446,0.3508821000989221,0.3959817199130648,0.3498277485273846,0.3427106135833527,0.2845271192379685,0.8048777258257855,0.21933616271958506,0.3432618003154426,-0.5549765382028203,-0.709164587777898,-0.5268594544461388,-0.5511656719979448,Shanta
5,0.6945106481610287,1.0,0.8238899323687431,0.726350075703248,0.09391997528651538,0.35790531315668467,0.3485705168239324,0.07763952641668825,0.1129256345551049,0.411816477339732,0.36699683607406586,0.41697649744000764,0.8111876640582549,0.2195088329209552,0.3271788613522276,-0.6005906728745133,-0.6420946868433153,-0.47531941554481066,-0.6487105492865598,Shanta
6,0.9304641674962356,0.6692400586205131,0.9006260105844589,0.6227193489354779,0.3328461809008881,0.4484718766217077,0.17454647169979884,0.3445736414769256,0.4295739767427219,0.36447872756417427,0.31418681031741325,0.3597223178274105,0.7807623964091713,0.32510954267483005,0.36699045811292996,-0.5976179865953475,-0.22076818199880538,-0.72607953888466,-0.27814570745855227,Shanta
7,0.8897503315488664,0.6684155554177936,0.8395797490850232,0.9169883193180013,0.4321064252464714,0.2947069033251565,0.12093001518405179,0.10361679825612549,0.45412738095932725,0.2572488191186918,0.08304310609137042,0.42967830908712873,0.828683488842421,0.23784003550295127,0.30602440381412954,-0.457643906302395,-0.37370865209263715,-0.7186497339009714,-0.8133715210618758,Shanta
8,0.8280310493338573,0.6281427566951672,0.9677430778106096,0.6976017525258018,0.1580348934525881,0.3016564803693048,0.43027644741329285,0.4540386191667154,0.4227724397419267,0.3980187478445924,0.28990112136464286,0.49568078142950284,0.780379659091359,0.3360016101004753,0.40159327259516614,-0.6699961558812693,-0.32648627632586236,-0.5374666303973168,-0.24356313335908641,Shanta
9,1.0,0.9753263728518557,0.7017461137329681,0.8623955355138423,0.3768861563012971,0.3468076474236633,0.3700743396902413,0.2254105210884354,0.6272474855378812,0.46031917616390744,0.3190609452124569,0.35991919095698804,0.8848670055246666,0.3297946661259093,0.4416366994678084,-0.6231138436987029,-0.6285187254281924,-0.33167177404272685,-0.6369850144254069,Shanta
10,0.8339181664286937,0.9010173095398504,0.9223958243553646,0.8706262524153416,0.23710333138587886,0.09458123338457952,0.40609108132169364,0.28479808533632056,0.3916812814654412,0.30231510307012627,0.3754974747965943,0.3733665916493537,0.8819893881848125,0.25564343285711816,0.3607151127453788,-0.5968148350428149,-0.8064360761552709,-0.5163047430336709,-0.5858281670790211,Shanta
11,0.8902700763395471,0.7382094283170612,0.7977734075555313,0.8209777410502707,0.23651976076372205,0.32231529370722595,0.26312802887814596,0.4008017726839988,0.3007903577246779,0.4475877843815018,0.2759170714581718,0.19495348321676756,0.8118076633156025,0.30569121400827315,0.3048121741952798,-0.6537503155758251,-0.4158941346098352,-0.5346453786773853,-0.42017596836627186,Shanta
